GRM188R71H103K;MUR;2
GRM188R71H104K;MUR;9
GRM188R71H223K;MUR;2
GRM188R71Ñ224K;MUR;16
GRM188R71Ñ474K;MUR;4
GRM1885Ñ1H101G;MUR;3
GRM1885Ñ1H102G;MUR;3
GRM1885Ñ1H150G;MUR;3
GRM1885Ñ1H222G;MUR;2
GRM1885Ñ1H470G;MUR;5
GRM1885Ñ1H471G;MUR;3
GRM2195Ñ2A102G;MUR;2
GRM21AR72E222KW01D;MUR;2
GRM21AR72E472KW01D;MUR;9
GRM21BR71C105K;MUR;2
GRM21BR71H224K;MUR;3
GRM31BR73A102KW01L;MUR;5
GRM31CR72E473KW03L;MUR;9
GRM32ER61C476KE15;MUR;3
GRM32ER71H475KA88;MUR;5
GRM32ER72A225KA35;MUR;3
VJ2220Y224KBEAT4X;VISHAY;5
VJ2225Y104KBGAT4X;VISHAY;19
VJ2225Y334KBEAT4X;VISHAY;19
AD8211YRJZ;AnalogDevices;2
dsPIC30F2023-20E/ML;MCRCH;2
IXDD404SI;IXXS;2
IXDN502D1;IXXS;3
LM20BIM7;TI;2
LM5101AM;TI;2
LM5115MTC;TI;2
LP2951CMM;TI;2
MCP42010-1/TS;MCRCH;3
OPA341NA;TI;2
PIC18F2523-I/ML;MCRCH;2
REF3040AIDBZ;TI;2
NL17SZ00DFT2G;ONS;3
NL17SZ02DFT2G;ONS;5
NL17SZ08DFT2G;ONS;3
NL17SZ14DFT2G;ONS;4
NL17SZ32DFT2G;ONS;3
NL7WB66USG;ONS;3
CRCW120647RJN;VISHAY;14
CRCW1206150RJN;VISHAY;90
RCA06030000ZSTA;VISHAY;2
RCA06031R1%50RT1;VISHAY;3
RCA06032R1%50RT1;VISHAY;2
RCA06035R11%50RT1;VISHAY;2
RCA060310R1%50RT1;VISHAY;3
RCA060320R1%50RT1;VISHAY;3
RCA060330R1%50RT1;VISHAY;2
RCA0603510R1%50RT1;VISHAY;6
RCA0603100R1%50RT1;VISHAY;7
RCA0603300R1%50RT1;VISHAY;4
RCA0603510R1%50RT1;VISHAY;3
RCA0603750R1%50RT1;VISHAY;2
RCA06031K1%50RT1;VISHAY;14
RCA06031K21%50RT1;VISHAY;2
RCA06031K51%50RT1;VISHAY;2
RCA06032K1%50RT1;VISHAY;4
RCA06032K71%50RT1;VISHAY;2
RCA06033K1%50RT1;VISHAY;5
RCA06035K11%50RT1;VISHAY;2
RCA06037K51%50RT1;VISHAY;4
RCA060310K1%50RT1;VISHAY;5
RCA060312K1%50RT1;VISHAY;2
RCA060315K1%50RT1;VISHAY;2
RCA060320K1%50RT1;VISHAY;4
RCA060327K1%50RT1;VISHAY;2
RCA060330K1%50RT1;VISHAY;4
RCA060351K1%50RT1;VISHAY;2
RCA060375K1%50RT1;VISHAY;2
RCA0603100K1%50RT1;VISHAY;2
RCA0603120K1%50RT1;VISHAY;3
RCA0603150K1%50RT1;VISHAY;5
RCA0603200K1%50RT1;VISHAY;3
RCA0603270K1%50RT1;VISHAY;3
RCA0603300K1%50RT1;VISHAY;3
RCA0603510K1%50RT1;VISHAY;2
RCA0603750K1%50RT1;VISHAY;2
RCA06032M1%50RT1;VISHAY;3
RCA08052R1%50RT1;VISHAY;2
RCA08057R51%50RT1;VISHAY;3
RCA080551K1%50RT1;VISHAY;3
RCA0805300K1%50RT1;VISHAY;8
RCA08052M1%50RT1;VISHAY;4
RCA08053M1%50RT1;VISHAY;60
RCA08055M11%50RT1;VISHAY;30
RCA12063R1%50RT1;VISHAY;3
RCA12065R11%50RT1;VISHAY;2
WSL0805R0200FEA18;VISHAY;4
WSL0805R0500FEA18;VISHAY;3
WSL0805R1000FEA18;VISHAY;2
1N4448HWT-7;DIODES;18
DFLS1200-7;DIODES;3
DFLS2100-7;DIODES;7
DFLU1400-7;DIODES;3
MM5Z16VST1;ONS;3
MM5Z2V7ST1;ONS;2
MM5Z4V7ST1;ONS;2
MM5Z5V1ST1;ONS;2
PDS1040-13;DIODES;3
PDS1040-13CTL-13;DIODES;2
PMEG4010BEA;Philips;2
SK510;M.C.C.;2
TLMV3100;VISHAY;2
US1M;DIODES;4
BC847BVN;Philips;2
BSC047N08NS3;INFIN;2
BSD235C;INFIN;3
BSD235N;INFIN;2
BSZ123N08NS3;INFIN;3
BSZ160N10NS3;INFIN;3
IPB60R099CP;INFIN;2
SPD01N60C3;INFIN;3
B64290P0037X087;EPCOS;2
B64290L0062X087;EPCOS;2
B64290L0742X038;EPCOS;2
B64290L0743X038;EPCOS;2
77030-A7;MAGNETICS;2
77040-A7;MAGNETICS;2
77050-A7;MAGNETICS;2
77380-A7;MAGNETICS;2
ER14.5/3/73C95(3C94);FERROXCUBE;7
UU1522CF138;COSMOFERRITES;9
